Kepolisian Daerah;Crime Total;Crime Cleared;Clearance Rate
A c e h; 27.464 ; 10.998 ; 40 
Sumatera Utara; 111.569 ; 50.160 ; 45 
Sumatera Barat; 39.487 ; 19.137 ; 48 
Riau; 30.255 ; 12.767 ; 42 
Jambi; 14.586 ; 7.829 ; 54 
Sumatera Selatan; 48.334 ; 27.523 ; 57 
Bengkulu; 29.546 ; 7.113 ; 24 
Lampung; 16.061 ; 2.858 ; 18 
Bangka Belitung; 9.190 ; 3.321 ; 36 
Kepulauan Riau; 12.304 ; 6.086 ; 49 
Metro Jaya; 155.464 ; 98.440 ; 63 
Jawa Barat; 81.386 ; 37.978 ; 47 
Jawa Tengah; 33.868 ; 38.705 ; 114 
DI Yogyakarta; 24.132 ; 8.567 ; 36 
Jawa Timur; 54.292 ; 21.628 ; 40 
Banten; 30.238 ; 6.699 ; 22 
Bali; 16.653 ; 11.879 ; 71 
Nusa Tenggara Barat; 29.017 ; 15.072 ; 52 
Nusa Tenggara Timur; 18.531 ; 13.296 ; 72 
Kalimantan Barat; 30.041 ; 10.319 ; 34 
Kalimantan Tengah; 11.884 ; 7.308 ; 61 
Kalimantan Selatan; 10.951 ; 7.872 ; 72 
Kalimantan Timur; 28.329 ; 15.876 ; 56 
Sulawesi Utara; 25.710 ; 22.854 ; 89 
Sulawesi Tengah; 17.274 ; 10.901 ; 63 
Sulawesi Selatan; 47.767 ; 37.670 ; 79 
Sulawesi Tenggara; 31.482 ; 13.900 ; 44 
Gorontalo; 13.503 ; 4.681 ; 35 
Maluku; 5.422 ; 2.108 ; 39 
Maluku Utara; 2.990 ; 1.535 ; 51 
Papua; 23.118 ; 11.113 ; 48 
